"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"23,2";"23,7";"23,1";"96,0";"96,0";"95,0";"22,4";"22,9";"22,4";"989,5";"989,6";"989,4";"0,2";"27,0";"1,2";"";""
"01/01/2023";"0100";"22,8";"23,2";"22,7";"96,0";"96,0";"96,0";"22,2";"22,4";"22,0";"990,1";"990,1";"989,5";"0,4";"329,0";"0,8";"";""
"01/01/2023";"0200";"22,7";"23,0";"22,5";"96,0";"96,0";"96,0";"22,1";"22,3";"21,9";"989,8";"990,1";"989,8";"0,3";"189,0";"1,8";"";""
"01/01/2023";"0300";"23,4";"23,4";"22,5";"96,0";"96,0";"96,0";"22,8";"22,8";"21,9";"989,5";"989,8";"989,5";"0,5";"310,0";"2,1";"";""
"01/01/2023";"0400";"22,8";"23,5";"22,8";"96,0";"96,0";"96,0";"22,2";"22,8";"22,2";"988,6";"989,5";"988,6";"0,4";"159,0";"1,7";"";""
"01/01/2023";"0500";"22,5";"22,9";"22,5";"97,0";"97,0";"96,0";"21,9";"22,3";"21,9";"988,2";"988,6";"988,2";"0,4";"135,0";"1,2";"";""
"01/01/2023";"0600";"22,2";"22,5";"22,2";"97,0";"97,0";"97,0";"21,7";"21,9";"21,6";"988,4";"988,4";"988,1";"0,4";"77,0";"1,4";"";""
"01/01/2023";"0700";"22,4";"22,4";"22,1";"97,0";"97,0";"97,0";"21,9";"21,9";"21,5";"988,9";"989,0";"988,4";"0,5";"212,0";"1,2";"";""
"01/01/2023";"0800";"21,8";"22,5";"21,8";"97,0";"97,0";"97,0";"21,3";"21,9";"21,3";"989,3";"989,3";"988,8";"0,5";"133,0";"1,2";"";""
"01/01/2023";"0900";"22,4";"22,5";"21,8";"97,0";"97,0";"97,0";"21,9";"22,0";"21,2";"989,9";"989,9";"989,3";"0,4";"124,0";"1,0";"5,80";""
"01/01/2023";"1000";"23,3";"23,4";"22,4";"97,0";"97,0";"97,0";"22,7";"22,8";"21,9";"990,8";"990,8";"989,9";"0,3";"99,0";"1,0";"144,10";""
"01/01/2023";"1100";"24,2";"24,3";"23,3";"96,0";"97,0";"96,0";"23,6";"23,7";"22,7";"991,2";"991,2";"990,8";"0,6";"68,0";"1,6";"450,10";""
"01/01/2023";"1200";"26,3";"26,7";"24,2";"80,0";"96,0";"80,0";"22,7";"24,3";"22,7";"991,5";"991,5";"991,2";"0,6";"352,0";"2,4";"911,20";""
"01/01/2023";"1300";"28,1";"29,1";"26,3";"75,0";"82,0";"70,0";"23,1";"24,6";"22,2";"991,1";"991,6";"991,1";"0,8";"42,0";"3,5";"1441,30";""
"01/01/2023";"1400";"29,4";"30,6";"28,1";"71,0";"76,0";"64,0";"23,6";"24,7";"22,4";"990,5";"991,2";"990,5";"1,3";"92,0";"4,6";"1660,90";""
"01/01/2023";"1500";"29,6";"31,4";"29,3";"69,0";"71,0";"60,0";"23,3";"24,2";"22,0";"989,9";"990,5";"989,9";"1,8";"103,0";"4,8";"1975,80";""
"01/01/2023";"1600";"31,4";"33,5";"29,6";"61,0";"70,0";"54,0";"23,1";"25,6";"21,6";"989,1";"989,9";"989,1";"1,6";"86,0";"5,6";"2589,00";""
"01/01/2023";"1700";"32,7";"33,3";"29,8";"56,0";"68,0";"52,0";"22,9";"23,7";"21,6";"988,0";"989,1";"988,0";"1,5";"55,0";"4,2";"2683,50";""
"01/01/2023";"1800";"32,3";"32,9";"31,1";"56,0";"63,0";"52,0";"22,2";"23,4";"21,3";"987,4";"988,0";"987,4";"1,3";"142,0";"4,8";"2478,90";""
"01/01/2023";"1900";"32,0";"32,5";"31,4";"54,0";"62,0";"51,0";"21,4";"23,1";"20,8";"987,0";"987,4";"987,0";"0,8";"117,0";"3,3";"1518,60";""
"01/01/2023";"2000";"30,5";"32,0";"30,4";"69,0";"69,0";"52,0";"24,2";"24,2";"20,9";"987,1";"987,1";"986,9";"0,2";"46,0";"1,6";"606,10";""
