"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"1000";"24,2";"24,2";"22,7";"";"";"";"";"";"";"953,1";"953,1";"952,6";"0,0";"111,0";"";"372,10";"0,0"
"01/01/2023";"1100";"25,4";"25,6";"24,2";"";"";"";"";"";"";"953,9";"953,9";"953,1";"3,3";"121,0";"8,6";"1276,30";"0,0"
"01/01/2023";"1200";"26,7";"26,7";"25,4";"";"";"";"";"";"";"954,0";"954,1";"953,8";"2,6";"112,0";"10,0";"2150,20";"0,0"
"01/01/2023";"1300";"28,1";"28,1";"26,7";"";"";"";"";"";"";"954,2";"954,3";"954,0";"0,0";"100,0";"10,0";"2902,90";"0,0"
"01/01/2023";"1400";"28,7";"29,3";"28,1";"";"";"";"";"";"";"953,3";"954,2";"953,3";"0,1";"96,0";"3,9";"3451,50";"0,0"
"01/01/2023";"1500";"29,4";"30,1";"28,7";"";"";"";"";"";"";"952,7";"953,3";"952,7";"0,8";"78,0";"8,0";"3354,80";"0,0"
"01/01/2023";"1600";"29,8";"30,8";"29,2";"";"";"";"";"";"";"952,3";"952,7";"952,3";"3,8";"75,0";"8,3";"2792,20";"0,0"
"01/01/2023";"1700";"31,0";"31,2";"29,8";"";"";"";"";"";"";"951,5";"952,3";"951,5";"2,5";"98,0";"7,2";"3333,60";"0,0"
"01/01/2023";"1800";"30,0";"31,3";"29,7";"";"";"";"";"";"";"950,7";"951,5";"950,7";"0,0";"96,0";"6,8";"2390,90";"0,0"
"01/01/2023";"1900";"30,8";"31,1";"29,8";"";"";"";"";"";"";"950,3";"950,7";"950,3";"0,0";"92,0";"5,5";"1260,40";"0,0"
"01/01/2023";"2000";"30,2";"31,4";"29,6";"";"";"";"";"";"";"950,2";"950,3";"950,2";"0,0";"76,0";"6,4";"473,40";"0,0"
"01/01/2023";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1000";"23,3";"23,3";"21,2";"";"";"";"";"";"";"953,2";"953,2";"952,6";"0,0";"178,0";"0,0";"352,00";"0,0"
"02/01/2023";"1100";"25,5";"25,5";"23,3";"";"";"";"";"";"";"953,9";"953,9";"953,2";"1,2";"109,0";"5,8";"1297,90";"0,0"
"02/01/2023";"1200";"26,8";"27,0";"25,5";"";"";"";"";"";"";"954,0";"954,1";"953,9";"1,4";"99,0";"8,3";"2141,50";"0,0"
"02/01/2023";"1300";"28,4";"28,4";"26,8";"";"";"";"";"";"";"954,1";"954,2";"954,0";"2,9";"100,0";"8,9";"2911,10";"0,0"
"02/01/2023";"1400";"28,7";"29,5";"27,2";"";"";"";"";"";"";"953,7";"954,2";"953,7";"1,9";"81,0";"8,3";"2357,20";"0,0"
"02/01/2023";"1500";"29,1";"30,2";"27,9";"";"";"";"";"";"";"953,3";"953,7";"953,2";"1,4";"68,0";"8,1";"2963,90";"0,0"
"02/01/2023";"1600";"30,3";"30,5";"28,3";"";"";"";"";"";"";"952,1";"953,3";"952,1";"0,7";"75,0";"6,8";"3081,10";"0,0"
"02/01/2023";"1700";"29,9";"31,1";"29,5";"";"";"";"";"";"";"951,1";"952,1";"951,1";"2,6";"75,0";"7,2";"2565,50";"0,0"
"02/01/2023";"1800";"30,5";"31,2";"29,5";"";"";"";"";"";"";"949,8";"951,1";"949,8";"0,0";"49,0";"6,4";"2007,90";"0,0"
"02/01/2023";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"1000";"22,7";"22,7";"21,7";"";"";"";"";"";"";"953,6";"953,6";"952,9";"0,0";"359,0";"";"160,60";"0,0"
"03/01/2023";"1100";"24,6";"24,6";"22,7";"";"";"";"";"";"";"954,1";"954,1";"953,6";"0,0";"355,0";"0,0";"1142,60";"0,0"
"03/01/2023";"1200";"26,0";"26,2";"24,3";"";"";"";"";"";"";"954,6";"954,6";"954,1";"0,2";"340,0";"5,8";"2125,40";"0,0"
"03/01/2023";"1300";"26,4";"27,1";"25,8";"";"";"";"";"";"";"954,7";"954,8";"954,6";"1,3";"2,0";"7,2";"2889,20";"0,0"
"03/01/2023";"1400";"25,4";"27,1";"25,4";"";"";"";"";"";"";"955,1";"955,1";"954,7";"0,6";"25,0";"7,2";"1917,40";"0,0"
"03/01/2023";"1500";"24,9";"25,4";"22,0";"";"";"";"";"";"";"954,7";"955,1";"954,7";"2,2";"53,0";"9,1";"1059,40";"3,8"
"03/01/2023";"1600";"24,7";"25,0";"24,2";"";"";"";"";"";"";"953,4";"954,7";"953,4";"0,0";"22,0";"6,9";"1619,60";"0,0"
"03/01/2023";"1700";"25,7";"25,7";"24,7";"";"";"";"";"";"";"952,8";"953,4";"952,7";"0,0";"8,0";"2,6";"1528,70";"0,0"
"03/01/2023";"1800";"25,8";"25,8";"25,3";"";"";"";"";"";"";"951,6";"952,8";"951,6";"0,0";"16,0";"1,6";"1079,60";"0,0"
"03/01/2023";"1900";"24,9";"25,8";"24,7";"";"";"";"";"";"";"950,5";"951,6";"950,5";"0,0";"61,0";"0,0";"589,30";"0,0"
"03/01/2023";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"1000";"23,0";"23,0";"21,6";"";"";"";"";"";"";"953,9";"953,9";"953,2";"0,0";"108,0";"0,0";"255,30";"0,0"
"04/01/2023";"1100";"24,3";"24,7";"23,0";"";"";"";"";"";"";"954,6";"954,6";"953,9";"0,5";"117,0";"3,9";"1091,00";"0,0"
"04/01/2023";"1200";"26,1";"26,3";"23,6";"";"";"";"";"";"";"955,0";"955,0";"954,6";"0,0";"141,0";"4,9";"1651,40";"0,0"
