"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"27,1";"28,7";"26,9";"45,0";"47,0";"41,0";"14,2";"15,5";"14,0";"934,9";"934,9";"934,5";"2,3";"75,0";"2,9";"";"0,0"
"01/01/2023";"0100";"26,3";"27,2";"25,6";"49,0";"51,0";"44,0";"14,7";"14,8";"14,0";"935,3";"935,3";"934,9";"1,8";"70,0";"3,8";"";"0,0"
"01/01/2023";"0200";"25,1";"26,3";"25,1";"57,0";"57,0";"49,0";"15,9";"16,0";"14,7";"935,6";"935,7";"935,3";"3,3";"36,0";"5,1";"";"0,0"
"01/01/2023";"0300";"25,1";"25,5";"25,0";"57,0";"57,0";"54,0";"15,9";"15,9";"15,7";"935,6";"935,7";"935,5";"3,8";"30,0";"6,8";"";"0,0"
"01/01/2023";"0400";"24,4";"25,2";"24,4";"60,0";"60,0";"56,0";"16,1";"16,2";"15,9";"935,5";"935,6";"935,5";"2,1";"21,0";"6,4";"";"0,0"
"01/01/2023";"0500";"24,6";"24,8";"24,1";"61,0";"62,0";"60,0";"16,5";"16,5";"16,2";"935,3";"935,5";"935,3";"3,8";"25,0";"7,4";"";"0,0"
"01/01/2023";"0600";"24,6";"25,0";"24,5";"61,0";"61,0";"59,0";"16,7";"16,7";"16,5";"935,3";"935,3";"935,2";"4,6";"38,0";"8,6";"";"0,0"
"01/01/2023";"0700";"23,5";"24,6";"23,5";"67,0";"67,0";"62,0";"17,0";"17,1";"16,7";"935,3";"935,3";"935,2";"2,2";"63,0";"7,8";"";"0,0"
"01/01/2023";"0800";"23,1";"23,6";"23,0";"69,0";"69,0";"66,0";"17,1";"17,1";"16,9";"935,5";"935,5";"935,2";"2,9";"71,0";"5,5";"";"0,0"
"01/01/2023";"0900";"22,6";"23,1";"22,4";"72,0";"72,0";"69,0";"17,3";"17,3";"17,0";"936,1";"936,1";"935,5";"3,3";"67,0";"5,8";"16,10";"0,0"
"01/01/2023";"1000";"23,9";"24,0";"22,6";"69,0";"72,0";"69,0";"17,9";"17,9";"17,3";"936,7";"936,7";"936,2";"2,3";"73,0";"5,6";"410,30";"0,0"
"01/01/2023";"1100";"24,5";"25,1";"23,7";"67,0";"70,0";"66,0";"18,0";"18,7";"17,6";"937,3";"937,4";"936,7";"3,1";"41,0";"6,1";"1199,70";"0,0"
