"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"24,9";"25,5";"24,8";"92,0";"93,0";"91,0";"23,6";"24,0";"23,5";"1009,2";"1009,2";"1008,6";"0,2";"122,0";"2,8";"";"0,0"
"01/01/2023";"0100";"25,0";"25,1";"24,9";"93,0";"93,0";"92,0";"23,8";"23,9";"23,5";"1010,2";"1010,2";"1009,2";"0,1";"147,0";"1,5";"0,30";"0,0"
"01/01/2023";"0200";"24,6";"25,0";"24,6";"94,0";"94,0";"92,0";"23,5";"23,8";"23,4";"1009,7";"1010,3";"1009,7";"0,1";"114,0";"1,7";"";"0,0"
"01/01/2023";"0300";"24,5";"24,6";"24,5";"95,0";"95,0";"94,0";"23,7";"23,7";"23,4";"1009,1";"1009,7";"1009,1";"0,0";"142,0";"2,4";"";"0,0"
"01/01/2023";"0400";"24,4";"24,6";"24,3";"97,0";"97,0";"95,0";"23,8";"23,8";"23,7";"1008,5";"1009,1";"1008,5";"0,0";"161,0";"1,5";"";"0,0"
"01/01/2023";"0500";"24,2";"24,4";"24,2";"97,0";"97,0";"97,0";"23,8";"23,9";"23,7";"1007,5";"1008,5";"1007,5";"0,2";"141,0";"1,6";"";"0,0"
"01/01/2023";"0600";"24,2";"24,2";"24,1";"98,0";"98,0";"97,0";"23,8";"23,8";"23,7";"1006,8";"1007,5";"1006,8";"0,0";"156,0";"1,5";"";"0,0"
"01/01/2023";"0700";"23,9";"24,2";"23,9";"98,0";"98,0";"98,0";"23,5";"23,8";"23,5";"1006,8";"1007,0";"1006,8";"0,0";"123,0";"1,0";"";"0,0"
"01/01/2023";"0800";"24,0";"24,0";"23,9";"98,0";"98,0";"98,0";"23,6";"23,7";"23,5";"1006,9";"1006,9";"1006,7";"0,0";"117,0";"1,2";"";"0,0"
"01/01/2023";"0900";"23,8";"24,0";"23,8";"98,0";"98,0";"98,0";"23,5";"23,6";"23,5";"1007,3";"1007,3";"1006,9";"0,1";"105,0";"2,1";"";"0,0"
