"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"28,1";"28,3";"28,0";"65,0";"65,0";"61,0";"21,0";"21,0";"20,0";"978,0";"978,1";"977,2";"0,0";"307,0";"0,0";"";"0,0"
"01/01/2023";"0100";"27,8";"28,2";"27,8";"67,0";"67,0";"65,0";"21,2";"21,4";"20,8";"978,7";"978,8";"978,0";"0,0";"177,0";"0,0";"";"0,0"
"01/01/2023";"0200";"27,4";"27,8";"27,3";"70,0";"70,0";"67,0";"21,3";"21,3";"21,0";"978,5";"978,8";"978,5";"0,0";"104,0";"0,0";"";"0,0"
"01/01/2023";"0300";"27,0";"27,4";"27,0";"71,0";"72,0";"69,0";"21,4";"21,7";"21,3";"978,1";"978,6";"978,1";"0,0";"157,0";"0,0";"";"0,0"
"01/01/2023";"0400";"26,2";"27,0";"26,2";"73,0";"73,0";"71,0";"20,9";"21,4";"20,9";"977,8";"978,1";"977,8";"0,0";"354,0";"0,0";"";"0,0"
"01/01/2023";"0500";"25,9";"26,2";"25,9";"75,0";"75,0";"73,0";"21,2";"21,3";"20,9";"977,3";"977,9";"977,3";"0,0";"155,0";"0,0";"";"0,0"
"01/01/2023";"0600";"25,5";"25,9";"25,5";"77,0";"77,0";"75,0";"21,1";"21,2";"21,0";"977,2";"977,4";"977,2";"0,0";"17,0";"0,0";"";"0,0"
"01/01/2023";"0700";"25,1";"25,5";"25,1";"78,0";"78,0";"76,0";"21,0";"21,1";"21,0";"977,1";"977,3";"977,0";"0,0";"157,0";"1,5";"";"0,0"
"01/01/2023";"0800";"24,6";"25,1";"24,6";"79,0";"79,0";"78,0";"20,7";"21,0";"20,7";"977,5";"977,5";"977,1";"0,0";"122,0";"1,5";"";"0,0"
"01/01/2023";"0900";"24,3";"24,7";"24,3";"79,0";"79,0";"78,0";"20,4";"20,7";"20,4";"978,1";"978,1";"977,5";"0,0";"218,0";"0,0";"10,00";"0,0"
"01/01/2023";"1000";"25,7";"25,7";"24,3";"73,0";"80,0";"73,0";"20,5";"20,9";"20,4";"978,9";"978,9";"978,1";"0,0";"250,0";"0,4";"437,10";"0,0"
"01/01/2023";"1100";"26,9";"26,9";"25,7";"67,0";"73,0";"66,0";"20,3";"20,4";"20,0";"979,2";"979,2";"978,9";"0,0";"145,0";"0,4";"1328,60";"0,0"
"01/01/2023";"1200";"28,8";"28,8";"26,9";"65,0";"69,0";"64,0";"21,4";"21,6";"20,4";"979,5";"979,5";"979,1";"0,1";"70,0";"4,9";"2180,00";"0,0"
"01/01/2023";"1300";"29,8";"29,9";"28,8";"60,0";"65,0";"60,0";"21,2";"21,5";"21,0";"979,2";"979,5";"979,2";"0,0";"75,0";"6,6";"2910,10";"0,0"
"01/01/2023";"1400";"30,2";"30,7";"29,8";"59,0";"61,0";"57,0";"21,2";"21,5";"21,0";"978,6";"979,2";"978,6";"0,1";"57,0";"3,4";"3283,50";"0,0"
"01/01/2023";"1500";"30,2";"30,3";"29,7";"58,0";"61,0";"58,0";"20,9";"21,6";"20,9";"977,8";"978,6";"977,8";"0,0";"37,0";"2,7";"1790,90";"0,0"
"01/01/2023";"1600";"31,2";"31,2";"30,1";"54,0";"60,0";"53,0";"20,7";"21,4";"20,4";"977,0";"977,8";"977,0";"0,1";"66,0";"6,0";"3044,90";"0,0"
"01/01/2023";"1700";"31,3";"31,9";"31,2";"51,0";"54,0";"49,0";"20,1";"21,1";"19,7";"976,2";"977,0";"976,2";"0,2";"52,0";"6,0";"3629,90";"0,0"
"01/01/2023";"1800";"30,9";"31,5";"30,6";"52,0";"52,0";"49,0";"19,9";"20,3";"19,1";"975,5";"976,2";"975,5";"0,0";"67,0";"4,0";"2007,60";"0,0"
"01/01/2023";"1900";"30,9";"31,6";"30,6";"51,0";"53,0";"49,0";"19,5";"20,1";"19,4";"975,0";"975,5";"975,0";"0,0";"21,0";"0,0";"1924,50";"0,0"
"01/01/2023";"2000";"30,7";"31,3";"30,5";"53,0";"55,0";"50,0";"20,2";"20,9";"19,6";"975,1";"975,2";"975,0";"0,0";"74,0";"0,0";"829,80";"0,0"
"01/01/2023";"2100";"30,2";"31,0";"30,2";"54,0";"56,0";"52,0";"19,9";"21,0";"19,9";"975,5";"975,5";"975,1";"0,0";"96,0";"0,0";"336,40";"0,0"
"01/01/2023";"2200";"28,7";"30,2";"28,7";"56,0";"56,0";"54,0";"19,1";"20,1";"19,1";"976,0";"976,0";"975,5";"0,0";"79,0";"2,2";"9,30";"0,0"
"01/01/2023";"2300";"27,9";"28,8";"27,9";"60,0";"60,0";"55,0";"19,4";"19,4";"18,5";"976,8";"976,8";"976,0";"0,0";"335,0";"0,0";"";"0,0"
"02/01/2023";"0000";"27,6";"27,9";"27,6";"65,0";"65,0";"60,0";"20,4";"20,5";"19,4";"977,3";"977,3";"976,8";"0,0";"138,0";"0,0";"";"0,0"
"02/01/2023";"0100";"26,9";"27,6";"26,9";"66,0";"66,0";"64,0";"19,9";"20,2";"19,7";"977,9";"977,9";"977,4";"0,0";"105,0";"0,0";"";"0,0"
"02/01/2023";"0200";"26,8";"26,9";"26,7";"68,0";"68,0";"66,0";"20,3";"20,3";"20,0";"978,2";"978,2";"977,9";"0,0";"127,0";"0,0";"";"0,0"
"02/01/2023";"0300";"26,2";"26,8";"26,2";"72,0";"72,0";"68,0";"20,9";"20,9";"20,3";"977,8";"978,3";"977,8";"0,0";"304,0";"0,0";"";"0,0"
"02/01/2023";"0400";"26,0";"26,3";"26,0";"74,0";"75,0";"72,0";"21,0";"21,2";"20,8";"977,4";"977,8";"977,3";"0,0";"4,0";"0,0";"";"0,0"
"02/01/2023";"0500";"25,8";"26,0";"25,7";"76,0";"76,0";"74,0";"21,2";"21,3";"21,0";"977,3";"977,4";"977,2";"0,0";"169,0";"0,0";"";"0,0"
"02/01/2023";"0600";"25,5";"25,8";"25,5";"76,0";"76,0";"75,0";"20,9";"21,2";"20,8";"977,0";"977,3";"977,0";"0,0";"162,0";"2,1";"";"0,0"
"02/01/2023";"0700";"25,0";"25,5";"25,0";"76,0";"76,0";"75,0";"20,4";"20,9";"20,3";"977,3";"977,3";"977,0";"0,0";"148,0";"0,0";"";"0,0"
"02/01/2023";"0800";"24,7";"25,0";"24,6";"77,0";"77,0";"75,0";"20,4";"20,4";"20,3";"977,6";"977,7";"977,3";"0,0";"203,0";"0,0";"";"0,0"
"02/01/2023";"0900";"24,8";"24,8";"24,6";"78,0";"78,0";"77,0";"20,7";"20,7";"20,3";"978,1";"978,1";"977,5";"0,0";"166,0";"0,0";"9,00";"0,0"
"02/01/2023";"1000";"25,9";"25,9";"24,8";"74,0";"78,0";"74,0";"20,9";"21,0";"20,7";"979,2";"979,2";"978,1";"0,0";"318,0";"0,0";"440,30";"0,0"
"02/01/2023";"1100";"27,4";"27,5";"25,9";"69,0";"74,0";"68,0";"21,2";"21,4";"20,6";"979,4";"979,4";"979,1";"0,0";"343,0";"0,0";"1301,40";"0,0"
"02/01/2023";"1200";"28,8";"28,8";"27,4";"68,0";"70,0";"67,0";"22,3";"22,4";"21,3";"979,4";"979,6";"979,3";"0,0";"2,0";"3,7";"2119,10";"0,0"
"02/01/2023";"1300";"29,9";"29,9";"28,7";"63,0";"69,0";"62,0";"22,2";"22,4";"21,8";"979,3";"979,4";"979,3";"0,1";"18,0";"4,3";"2895,60";"0,0"
"02/01/2023";"1400";"30,3";"30,4";"29,8";"63,0";"64,0";"61,0";"22,4";"22,5";"21,9";"978,8";"979,3";"978,8";"0,3";"16,0";"5,6";"2711,30";"0,0"
"02/01/2023";"1500";"30,8";"30,8";"29,7";"62,0";"64,0";"61,0";"22,7";"22,7";"21,8";"978,0";"978,8";"978,0";"0,9";"9,0";"7,3";"3068,20";"0,0"
"02/01/2023";"1600";"30,4";"31,2";"30,3";"62,0";"62,0";"59,0";"22,2";"22,8";"22,1";"977,1";"978,0";"977,1";"1,5";"18,0";"6,5";"2211,80";"0,0"
"02/01/2023";"1700";"31,0";"31,3";"30,2";"62,0";"64,0";"61,0";"22,9";"23,0";"22,2";"975,9";"977,1";"975,9";"2,2";"345,0";"6,4";"2901,40";"0,0"
"02/01/2023";"1800";"31,1";"31,6";"30,7";"59,0";"62,0";"57,0";"22,1";"22,9";"21,8";"974,8";"975,9";"974,8";"2,4";"353,0";"6,4";"2870,70";"0,0"
"02/01/2023";"1900";"31,0";"31,5";"30,7";"59,0";"60,0";"56,0";"22,1";"22,5";"21,5";"974,4";"974,8";"974,4";"0,0";"16,0";"6,3";"1900,20";"0,0"
"02/01/2023";"2000";"30,2";"31,1";"30,2";"63,0";"63,0";"58,0";"22,4";"22,5";"21,5";"974,1";"974,4";"974,0";"0,1";"360,0";"5,8";"863,00";"0,0"
"02/01/2023";"2100";"29,5";"30,2";"29,5";"66,0";"66,0";"63,0";"22,6";"22,7";"22,1";"974,8";"974,8";"974,1";"0,1";"14,0";"5,6";"389,40";"0,0"
"02/01/2023";"2200";"28,5";"29,6";"28,5";"70,0";"70,0";"66,0";"22,5";"22,7";"22,4";"975,4";"975,4";"974,8";"0,0";"14,0";"3,1";"36,70";"0,0"
"02/01/2023";"2300";"27,9";"28,5";"27,9";"67,0";"70,0";"67,0";"21,2";"22,4";"21,2";"976,7";"976,7";"975,4";"0,0";"33,0";"3,9";"";"0,0"
"03/01/2023";"0000";"27,3";"28,0";"27,3";"72,0";"72,0";"67,0";"21,9";"21,9";"21,3";"977,4";"977,4";"976,7";"0,0";"358,0";"3,9";"";"0,0"
