"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,2";"26,3";"26,1";"77,0";"78,0";"77,0";"21,8";"22,0";"21,7";"1009,2";"1009,2";"1008,8";"1,3";"77,0";"4,7";"";"0,0"
"01/01/2023";"0100";"26,1";"26,3";"26,0";"78,0";"78,0";"76,0";"22,0";"22,0";"21,8";"1009,4";"1009,4";"1009,2";"1,0";"90,0";"4,7";"";"0,0"
"01/01/2023";"0200";"26,0";"26,3";"26,0";"79,0";"79,0";"78,0";"22,0";"22,3";"22,0";"1009,1";"1009,4";"1009,1";"0,9";"79,0";"5,0";"";"0,0"
"01/01/2023";"0300";"25,8";"26,0";"25,6";"79,0";"80,0";"79,0";"21,9";"22,1";"21,8";"1008,5";"1009,1";"1008,5";"1,0";"84,0";"4,8";"";"0,0"
"01/01/2023";"0400";"23,7";"25,8";"23,7";"89,0";"89,0";"79,0";"21,7";"22,1";"21,6";"1008,1";"1008,5";"1008,1";"1,4";"52,0";"4,6";"";"3,4"
"01/01/2023";"0500";"23,9";"23,9";"23,5";"92,0";"92,0";"89,0";"22,5";"22,5";"21,7";"1007,7";"1008,1";"1007,6";"0,9";"59,0";"3,6";"";"0,0"
"01/01/2023";"0600";"23,6";"24,0";"23,6";"92,0";"92,0";"92,0";"22,3";"22,6";"22,2";"1007,4";"1007,7";"1007,3";"0,5";"52,0";"3,1";"";"0,0"
"01/01/2023";"0700";"23,9";"23,9";"23,6";"92,0";"93,0";"92,0";"22,6";"22,6";"22,2";"1007,5";"1007,6";"1007,4";"0,7";"67,0";"3,2";"";"0,0"
"01/01/2023";"0800";"23,7";"23,9";"23,6";"92,0";"92,0";"92,0";"22,4";"22,6";"22,3";"1007,8";"1007,9";"1007,5";"0,7";"88,0";"3,2";"";"0,0"
"01/01/2023";"0900";"24,0";"24,0";"23,7";"92,0";"93,0";"92,0";"22,7";"22,7";"22,4";"1008,2";"1008,2";"1007,8";"0,5";"92,0";"2,7";"47,40";"0,0"
"01/01/2023";"1000";"25,4";"25,5";"24,0";"90,0";"93,0";"90,0";"23,7";"23,9";"22,7";"1008,8";"1008,8";"1008,2";"0,7";"115,0";"3,3";"166,50";"0,2"
"01/01/2023";"1100";"27,8";"28,5";"25,3";"74,0";"90,0";"74,0";"22,7";"24,6";"22,7";"1009,4";"1009,4";"1008,8";"0,9";"130,0";"3,6";"1081,60";"0,0"
"01/01/2023";"1200";"28,6";"28,6";"26,9";"74,0";"81,0";"73,0";"23,5";"23,8";"21,9";"1009,4";"1009,6";"1009,3";"1,2";"144,0";"4,4";"1700,40";"0,0"
"01/01/2023";"1300";"29,6";"29,7";"28,4";"71,0";"75,0";"70,0";"23,8";"24,2";"22,9";"1009,3";"1009,4";"1009,3";"1,2";"145,0";"4,8";"2894,60";"0,0"
"01/01/2023";"1400";"29,3";"30,0";"28,9";"70,0";"73,0";"67,0";"23,1";"24,2";"22,7";"1008,8";"1009,3";"1008,8";"1,3";"160,0";"4,6";"3332,90";"0,0"
"01/01/2023";"1500";"29,6";"30,3";"28,8";"69,0";"72,0";"67,0";"23,3";"24,3";"22,4";"1008,1";"1008,8";"1008,1";"1,5";"175,0";"4,9";"3552,70";"0,0"
"01/01/2023";"1600";"30,0";"30,4";"29,5";"69,0";"71,0";"65,0";"23,8";"24,1";"22,7";"1007,7";"1008,1";"1007,7";"1,6";"144,0";"5,1";"3496,30";"0,0"
"01/01/2023";"1700";"29,9";"30,3";"29,6";"65,0";"69,0";"63,0";"22,5";"23,6";"22,1";"1007,0";"1007,7";"1007,0";"1,4";"155,0";"5,2";"3085,20";"0,0"
"01/01/2023";"1800";"30,0";"30,2";"29,5";"67,0";"68,0";"62,0";"23,2";"23,3";"21,9";"1006,5";"1007,0";"1006,5";"1,3";"151,0";"6,2";"2516,80";"0,0"
"01/01/2023";"1900";"28,4";"30,0";"28,2";"74,0";"74,0";"66,0";"23,3";"23,5";"22,2";"1006,3";"1006,5";"1006,3";"1,6";"146,0";"6,3";"1710,10";"0,0"
"01/01/2023";"2000";"27,3";"28,7";"27,3";"77,0";"77,0";"72,0";"22,9";"23,5";"22,8";"1006,7";"1006,7";"1006,3";"1,5";"144,0";"5,0";"1124,00";"0,0"
"01/01/2023";"2100";"26,2";"27,3";"26,2";"80,0";"80,0";"77,0";"22,4";"23,0";"22,4";"1007,0";"1007,1";"1006,7";"1,1";"133,0";"5,7";"206,20";"0,0"
"01/01/2023";"2200";"25,9";"26,2";"25,9";"82,0";"82,0";"80,0";"22,5";"22,8";"22,3";"1008,2";"1008,2";"1007,0";"1,1";"138,0";"5,1";"";"0,0"
"01/01/2023";"2300";"25,9";"26,0";"25,6";"81,0";"82,0";"81,0";"22,4";"22,6";"22,4";"1008,8";"1008,8";"1008,2";"1,0";"147,0";"5,1";"";"0,0"
"02/01/2023";"0000";"26,0";"26,0";"25,8";"82,0";"82,0";"81,0";"22,6";"22,6";"22,2";"1009,1";"1009,1";"1008,8";"1,1";"151,0";"4,9";"";"0,0"
"02/01/2023";"0100";"23,7";"26,0";"23,7";"90,0";"90,0";"81,0";"22,0";"22,7";"21,8";"1008,9";"1009,3";"1008,9";"0,6";"59,0";"6,1";"";"1,8"
"02/01/2023";"0200";"23,6";"23,9";"23,6";"92,0";"92,0";"90,0";"22,2";"22,4";"22,0";"1008,8";"1009,0";"1008,8";"0,3";"348,0";"2,6";"";"0,0"
"02/01/2023";"0300";"23,5";"23,8";"23,3";"92,0";"92,0";"92,0";"22,2";"22,4";"22,0";"1008,0";"1008,8";"1008,0";"0,3";"55,0";"1,3";"";"0,0"
"02/01/2023";"0400";"23,4";"23,5";"23,3";"92,0";"92,0";"92,0";"22,0";"22,2";"22,0";"1007,3";"1008,0";"1007,3";"0,2";"34,0";"1,2";"";"0,0"
"02/01/2023";"0500";"23,6";"23,6";"23,3";"92,0";"92,0";"92,0";"22,3";"22,3";"22,0";"1007,0";"1007,3";"1007,0";"0,6";"339,0";"1,0";"";"0,0"
"02/01/2023";"0600";"24,1";"24,1";"23,5";"92,0";"92,0";"92,0";"22,7";"22,7";"22,2";"1006,7";"1007,0";"1006,6";"0,9";"321,0";"1,8";"";"0,0"
"02/01/2023";"0700";"23,6";"24,3";"23,5";"93,0";"93,0";"91,0";"22,4";"22,8";"22,2";"1007,0";"1007,1";"1006,7";"0,3";"246,0";"2,5";"";"4,0"
"02/01/2023";"0800";"23,4";"23,7";"23,3";"93,0";"94,0";"93,0";"22,2";"22,5";"22,1";"1007,0";"1007,0";"1006,7";"0,4";"242,0";"1,1";"";"0,0"
"02/01/2023";"0900";"23,8";"23,8";"23,3";"94,0";"94,0";"93,0";"22,8";"22,8";"22,2";"1007,6";"1007,6";"1007,0";"0,3";"222,0";"0,9";"30,00";"0,0"
"02/01/2023";"1000";"24,4";"24,4";"23,5";"94,0";"94,0";"94,0";"23,3";"23,3";"22,4";"1008,3";"1008,3";"1007,6";"0,5";"7,0";"2,9";"318,80";"5,0"
"02/01/2023";"1100";"26,6";"26,6";"24,4";"93,0";"94,0";"92,0";"25,5";"25,5";"23,4";"1008,8";"1008,8";"1008,3";"0,4";"346,0";"2,6";"1018,20";"0,0"
"02/01/2023";"1200";"26,2";"27,2";"25,6";"88,0";"93,0";"87,0";"24,0";"25,6";"23,3";"1008,9";"1008,9";"1008,8";"0,6";"206,0";"2,7";"1119,70";"0,0"
"02/01/2023";"1300";"24,6";"26,9";"24,6";"88,0";"88,0";"82,0";"22,5";"24,3";"22,0";"1008,9";"1008,9";"1008,7";"2,2";"40,0";"6,7";"1013,30";"0,0"
"02/01/2023";"1400";"24,4";"25,3";"23,9";"92,0";"92,0";"88,0";"23,0";"23,5";"22,2";"1008,5";"1008,8";"1008,5";"1,0";"42,0";"7,4";"994,80";"4,6"
"02/01/2023";"1500";"26,0";"26,4";"24,4";"83,0";"93,0";"83,0";"22,9";"24,8";"22,9";"1007,8";"1008,5";"1007,8";"2,1";"48,0";"6,0";"1838,50";"0,0"
"02/01/2023";"1600";"28,8";"28,8";"26,0";"71,0";"83,0";"69,0";"23,0";"23,9";"21,7";"1006,7";"1007,8";"1006,7";"1,7";"44,0";"5,6";"3453,90";"0,2"
"02/01/2023";"1700";"28,5";"28,9";"27,9";"73,0";"75,0";"69,0";"23,0";"23,8";"22,0";"1005,8";"1006,8";"1005,7";"1,5";"69,0";"6,3";"2876,10";"0,0"
"02/01/2023";"1800";"28,6";"29,0";"28,0";"64,0";"74,0";"61,0";"21,1";"23,4";"20,5";"1005,4";"1005,8";"1005,2";"2,0";"71,0";"6,3";"2394,90";"0,0"
"02/01/2023";"1900";"26,5";"28,7";"26,5";"76,0";"76,0";"64,0";"21,9";"22,0";"20,9";"1005,4";"1005,5";"1005,2";"1,2";"83,0";"6,3";"1293,10";"0,0"
"02/01/2023";"2000";"26,5";"26,6";"26,2";"74,0";"78,0";"74,0";"21,5";"22,3";"21,5";"1005,4";"1005,5";"1005,2";"1,2";"59,0";"6,7";"561,90";"0,0"
"02/01/2023";"2100";"25,7";"26,4";"25,6";"79,0";"79,0";"73,0";"21,9";"21,9";"21,0";"1005,8";"1005,9";"1005,4";"1,3";"60,0";"5,2";"145,90";"0,0"
"02/01/2023";"2200";"25,6";"25,8";"25,5";"82,0";"82,0";"79,0";"22,3";"22,3";"21,9";"1006,9";"1006,9";"1005,8";"1,2";"68,0";"5,6";"";"0,0"
"02/01/2023";"2300";"25,8";"25,8";"25,6";"81,0";"82,0";"81,0";"22,3";"22,4";"22,2";"1007,7";"1007,7";"1006,9";"1,0";"62,0";"4,8";"";"0,0"
"03/01/2023";"0000";"25,8";"25,9";"25,6";"80,0";"81,0";"80,0";"22,1";"22,3";"22,0";"1008,0";"1008,1";"1007,7";"1,2";"46,0";"4,7";"";"0,0"
"03/01/2023";"0100";"25,4";"25,8";"25,3";"84,0";"84,0";"80,0";"22,4";"22,4";"22,0";"1007,5";"1008,1";"1007,5";"0,5";"64,0";"3,5";"";"0,0"
"03/01/2023";"0200";"24,1";"25,4";"23,9";"91,0";"91,0";"84,0";"22,5";"22,5";"21,7";"1007,2";"1007,5";"1007,1";"0,9";"36,0";"5,7";"";"2,8"
"03/01/2023";"0300";"23,8";"24,1";"23,7";"92,0";"92,0";"91,0";"22,5";"22,7";"22,3";"1006,9";"1007,2";"1006,8";"1,2";"40,0";"4,4";"";"0,0"
"03/01/2023";"0400";"22,4";"23,8";"22,2";"93,0";"93,0";"92,0";"21,2";"22,6";"20,9";"1006,5";"1006,9";"1006,5";"0,7";"20,0";"6,4";"";"3,6"
"03/01/2023";"0500";"22,4";"23,1";"22,4";"93,0";"93,0";"93,0";"21,2";"21,9";"21,2";"1005,8";"1006,5";"1005,8";"1,3";"38,0";"4,5";"";"0,0"
"03/01/2023";"0600";"22,8";"23,3";"22,4";"92,0";"93,0";"92,0";"21,5";"21,9";"21,1";"1006,4";"1006,4";"1005,8";"0,6";"49,0";"4,5";"";"0,2"
"03/01/2023";"0700";"23,0";"23,2";"22,8";"93,0";"93,0";"92,0";"21,7";"21,9";"21,4";"1006,7";"1006,7";"1006,2";"0,7";"73,0";"4,6";"";"0,2"
"03/01/2023";"0800";"22,7";"23,0";"22,4";"93,0";"93,0";"93,0";"21,6";"21,8";"21,2";"1007,3";"1007,3";"1006,7";"1,3";"82,0";"4,1";"";"0,0"
"03/01/2023";"0900";"22,3";"22,8";"22,2";"94,0";"94,0";"93,0";"21,3";"21,6";"21,1";"1007,7";"1007,7";"1007,3";"1,2";"92,0";"4,8";"20,40";"0,0"
